Wealth,Age,Gender,Region,TVRegion,LoyaltyStatus,SpendYTD,MemberLength,TargetBuy,TargetAmt
10,76,U,Midlands,Wales & West,Gold,16000,4,0,0
4,49,U,Midlands,Wales & West,Gold,6000,5,0,0
5,70,F,Midlands,Wales & West,Silver,0.02,8,1,1
10,65,M,Midlands,Midlands,Tin,0.01,7,1,1
11,68,F,Midlands,Midlands,Tin,0.01,8,0,0
9,72,U,North,N West,Platinum,20759.81,3,0,0
11,74,F,Midlands,East,Tin,0.01,8,0,0
13,62,M,North,N East,Tin,0.01,5,0,0
10,62,M,Midlands,East,Silver,2038.76,3,0,0
7,60,F,North,N East,Gold,11000,2,0,0
9,51,F,Midlands,Midlands,Silver,300,11,0,0
6,64,F,South East,S & S East,Tin,0.01,9,0,0
16,37,F,South East,London,Tin,0.01,4,1,2
8,54,M,Midlands,Midlands,Silver,1420,1,0,0
5,70,F,Midlands,Midlands,Gold,6104.66,8,0,0
7,49,U,South East,London,Tin,0.01,7,0,0
9,66,F,Midlands,Midlands,Silver,500,12,0,0
9,74,F,Midlands,Wales & West,Gold,6000,2,0,0
6,70,U,Midlands,East,Gold,16000,2,0,0
7,66,M,South East,S & S East,Silver,1000,5,0,0
6,46,F,South East,London,Tin,0.01,8,0,0
10,39,M,Midlands,Ulster,Tin,0.01,5,0,0
7,75,M,Midlands,East,Silver,4000,7,0,0
7,43,M,North,N West,Tin,0.01,5,1,1
7,62,F,Midlands,Wales & West,Gold,20000,4,0,0
8,37,M,South West,S West,Silver,1000,9,1,1
9,49,F,South East,London,Tin,0.01,8,0,0
8,79,U,North,N East,Gold,6000,1,0,0
3,50,F,Midlands,East,Gold,9800,3,0,0
15,35,F,Midlands,Wales & West,Silver,1630,5,1,1
10,71,F,Midlands,Wales & West,Silver,1500,5,0,0
7,44,F,North,N West,Silver,1000,1,0,0
8,42,M,North,N East,Tin,0.01,5,0,0
9,68,F,South West,S West,Gold,6053.25,5,1,1
9,31,F,North,Yorkshire,Tin,0.01,4,0,0
8,70,F,South East,London,Gold,19053.82,15,0,0
7,72,F,North,N East,Platinum,20526.96,3,0,0
12,41,M,Midlands,East,Tin,0.01,9,0,0
9,37,F,North,N East,Gold,6000,1,1,1
8,58,F,North,N West,Gold,10053.35,7,0,0
7,47,F,South East,London,Silver,0.02,5,0,0
8,71,M,Midlands,East,Silver,1000,6,0,0
8,62,F,Midlands,Midlands,Silver,1000,5,1,1
15,72,U,Midlands,Midlands,Gold,6340.26,12,0,0
8,39,F,Midlands,Midlands,Silver,2241.36,4,1,1
6,76,M,Midlands,Wales & West,Gold,12000,19,0,0
7,61,F,Scottish,Border,Gold,6000,11,1,1
6,53,U,Midlands,Midlands,Tin,0.01,5,0,0
