Id,SalePrice,LotArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,LotConfig,BldgType,YearBuilt,YearRemodAdd,Foundation,CentralAir,KitchenQual,PavedDrive,YrSold
1,208500,8450,856,856,854,2,1,3,8,0,2,0,61,0,0,0,0,Inside,1Fam,2003,2003,PConc,Y,Gd,Y,2008
2,181500,9600,1262,1262,0,2,0,3,6,1,2,298,0,0,0,0,0,FR2,1Fam,1976,1976,CBlock,Y,TA,Y,2007
3,223500,11250,920,920,866,2,1,3,6,1,2,0,42,0,0,0,0,Inside,1Fam,2001,2002,PConc,Y,Gd,Y,2008
4,140000,9550,756,961,756,1,0,3,7,1,3,0,35,272,0,0,0,Corner,1Fam,1915,1970,BrkTil,Y,Gd,Y,2006
5,250000,14260,1145,1145,1053,2,1,4,9,1,3,192,84,0,0,0,0,FR2,1Fam,2000,2000,PConc,Y,Gd,Y,2008
6,143000,14115,796,796,566,1,1,1,5,0,2,40,30,0,320,0,0,Inside,1Fam,1993,1995,Wood,Y,TA,Y,2009
7,307000,10084,1686,1694,0,2,0,3,7,1,2,255,57,0,0,0,0,Inside,1Fam,2004,2005,PConc,Y,Gd,Y,2007
8,200000,10382,1107,1107,983,2,1,3,7,2,2,235,204,228,0,0,0,Corner,1Fam,1973,1973,CBlock,Y,TA,Y,2009
9,129900,6120,952,1022,752,2,0,2,8,2,2,90,0,205,0,0,0,Inside,1Fam,1931,1950,BrkTil,Y,TA,Y,2008
10,118000,7420,991,1077,0,1,0,2,5,2,1,0,4,0,0,0,0,Corner,2fmCon,1939,1950,BrkTil,Y,TA,Y,2008
11,129500,11200,1040,1040,0,1,0,3,5,0,1,0,0,0,0,0,0,Inside,1Fam,1965,1965,CBlock,Y,TA,Y,2008
12,345000,11924,1175,1182,1142,3,0,4,11,2,3,147,21,0,0,0,0,Inside,1Fam,2005,2006,PConc,Y,Ex,Y,2006
13,144000,12968,912,912,0,1,0,2,4,0,1,140,0,0,0,176,0,Inside,1Fam,1962,1962,CBlock,Y,TA,Y,2008
14,279500,10652,1494,1494,0,2,0,3,7,1,3,160,33,0,0,0,0,Inside,1Fam,2006,2007,PConc,Y,Gd,Y,2007
15,157000,10920,1253,1253,0,1,1,2,5,1,1,0,213,176,0,0,0,Corner,1Fam,1960,1960,CBlock,Y,TA,Y,2008
16,132000,6120,832,854,0,1,0,2,5,0,2,48,112,0,0,0,0,Corner,1Fam,1929,2001,BrkTil,Y,TA,Y,2007
17,149000,11241,1004,1004,0,1,0,2,5,1,2,0,0,0,0,0,0,CulDSac,1Fam,1970,1970,CBlock,Y,TA,Y,2010
18,90000,10791,0,1296,0,2,0,2,6,0,2,0,0,0,0,0,0,Inside,Duplex,1967,1967,Slab,Y,TA,Y,2006
