Item Number,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition,Seller Note,Price
85264981001,CHUWI,Quad Core,14.0,Gray,8 GB,Unknown,Intel Iris Plus Graphics 655,Max up to 3.80 GHz,Notebook/Laptop,2021,2160 x 1440,CoreBook X,Windows 11 Home,512 GB SSD,SSD,"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam",New,Unknown,303.68
85264981003,Dell,Intel Core i5-6300U,14.0,Black,16 GB,500 GB,Intel HD Graphics,2.40 GHz,Notebook/Laptop,2019,1920 x 1080,Dell Latitude E5470,Windows 10 Pro,500 GB,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",Used,"“Well kept, fully functional, includes battery, AC Adapter and power cord.”",175.0
85264981005,Dell,Intel Core i5 6th Gen.,12.5,Unknown,8 GB,256 GB,Integrated,Minimum 1.40 GHz,Notebook/Laptop,2015,1366 x 768,Various Models,Windows 10,NO HDD,SSD,"10/100 LAN Card, Built-in Microphone, Built-in Webcam, Wi-Fi",Good,“Laptops is tested & fully working with some sign of use (scratches and/or marks on case. May have ...  Read moreabout the seller notes“Laptops is tested & fully working with some sign of use (scratches and/or marks on case. May have scratches and spots on screen). Please Note Our Images Are An Example Of The Laptop You Will Receive. Model Numbers Will Vary.Windows 10 installed. Comes with charger and power lead.” Read Lessabout the seller notes ,101.22
85264981014,Chuwi,Intel Celeron Processor N4100,14.1,Gray,8 GB,256 GB,"Intel UHD Graphics 600, 650MHz",2.80 GHz,Notebook/Laptop,2021,1920 x 1080,CHUWI Lapbook Pro,Windows 11 Home,256 GB,SSD,Wi-Fi,New,Unknown,151.99
85264981015,Chuwi,Intel Core i5-8259U,14.0,Gray,8 GB,512 GB,Intel Iris Plus Graphics 655,3.80 GHz,Notebook/Laptop,2021,2160 x 1440,CHUWI CoreBook X,Windows 10,512 GB,Hybrid,"Backlit Keyboard, Bluetooth, Built-in Microphone, Wi-Fi",New,Unknown,243.99
85264981018,Dell,Intel Celeron,11.0,Black,4 GB,128 GB,Intel UHD Graphics 600,1.10 GHz,Notebook/Laptop,2019,1366 x 768,Dell Latitude 3189,Windows 10 Pro,128 GB,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",Used,"“Tested and guaranteed by certified dell laptop technicians. This laptop was used before and will ...  Read moreabout the seller notes“Tested and guaranteed by certified dell laptop technicians. This laptop was used before and will show normal signs of use and handling with nothing major, The screen is NOT cracked and the computer is intact, the PC Laptop is fully tested and working normally. A brand new copy of Windows 10 Pro is installed and active. Ready for use out of the box with an Authentic charger” Read Lessabout the seller notes ",129.99
85264981019,Acer,Intel Celeron N,11.6,Gray,4 GB,16 GB,Intel HD Graphics,1.60 GHz,Notebook/Laptop,2018,1366 x 768,Acer Chromebook C731,Chrome OS,16 GB,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",Used,"“Acer Chromebook C731 in certified excellent, used condition.Displays light to normal signs of wear; ...  Read moreabout the seller notes“Acer Chromebook C731 in certified excellent, used condition.Displays light to normal signs of wear; NO cracks, deep scuffs, or dents.Features 4GB RAM, 16GB SSD, HDMI, Wi-Fi connectivity, and a built-in webcam.Ideal for students, professionals, or casual browsing.” Read Lessabout the seller notes ",39.99
85264981023,Dell,Intel Core i5 6th Gen.,12.5,Black,8 GB,256 GB,Intel HD Graphics,2.60 GHz,Notebook/Laptop,2013,1920 x 1080,Dell Latitude 5289,Windows 10,256 GB,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam",Used,"“This dell computer was used before and will show normal signs of use and handling, Everything is ...  Read moreabout the seller notes“This dell computer was used before and will show normal signs of use and handling, Everything is guaranteed to work as it should” Read Lessabout the seller notes ",199.99
85264981028,HP,Intel Core i5-1135G7,15.6,Natural Silver,Multiple Options,Multiple Options,Intel Iris Xe Graphics,Up to 4.2GHz,Notebook/Laptop,2023,1920 x 1080,HP 15 Essential,Windows 11 Home,Up to 2TB,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi, USB 3.2, Ethernet, Media card reader, USB-C",New,Unknown,439.0
85264981030,Dell,Intel Core i5 7th Gen.,15.6,Black,16 GB,512 GB,Intel HD Graphics 620,3.10 GHz (2.50 GHz Base Frequnecy),Notebook/Laptop,Refurbished in 2023,1920 x 1080,Dell Latitude 5580,Windows 10 Pro,512 GB,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Good,"“The item shows minimal wear and is backed by a one year warranty. It is fully functional and has ...  Read moreabout the seller notes“The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.” Read Lessabout the seller notes ",344.99
